Adèle Antignac,https://profiles.google.com/117991409563960417265/posts
Alexey Kryukov,https://profiles.google.com/101454393402244194233/about
Andrey V. Panov,https://profiles.google.com/andrej.panov/about
Anton Koovit,https://profiles.google.com/110835161102775862873/about
Astigmatic,https://profiles.google.com/astigmaticfonts/about
Barry Schwartz,https://profiles.google.com/rubujsagxulo/about
Ben Weiner,https://profiles.google.com/u/0/115070985395911888825/about
Birgit Pulk,https://profiles.google.com/birgitpulk/about
Brian Zick,https://profiles.google.com/artistenator/about
Claus Eggers Sørensen,https://profiles.google.com/clauses/about
Cyreal,https://plus.google.com/b/110746122849437886147/about
Dan Rhatigan,https://profiles.google.com/danrhatigan/about
Daniel Johnson,https://plus.google.com/113574588462430984234/about
Dave Crossland,https://profiles.google.com/d.crossland/about
David Perry,https://profiles.google.com/113431590328913291497/about
Denis Jacquerye,https://profiles.google.com/moyogo/about
Denis Masharov,https://profiles.google.com/106558435145097149719/about
Eben Sorkin,https://profiles.google.com/106288796449831139244/about
Ed Trager,https://profiles.google.com/101435963386327243196/about
Eduardo Tunni,https://profiles.google.com/u/0/102227856512675210123/about
Elena Albertoni,https://profiles.google.com/111248592282802896977/about
Font Diner,https://profiles.google.com/fontdiner/about
Friedrich Althausen,http://profiles.google.com/109266907595786152498/about
Georg Duffner,https://plus.google.com/104067145318343853729/about
Gesine Todt,https://profiles.google.com/GesineTodt/about
Haley Fiege,https://profiles.google.com/103574724047055810319/about
Hashim P M,https://profiles.google.com/102364930354332078254/about
James Grieshaber,https://profiles.google.com/jamesgrieshaber/about
Jasper de Waard,https://profiles.google.com/107234741795984094258/about
Joe Prince,https://profiles.google.com/115540960342941034012/about
Johan Aakerlund,https://profiles.google.com/aajohan/about
Johan Kallas,https://profiles.google.com/johan.kallas/about
Jonny Pinhorn,https://profiles.google.com/111903867315494499168/about
Jovanny Lemonad,https://profiles.google.com/lemonad/about
Karolina Lach,https://profiles.google.com/112779407687319388016/about
Khaled Hosny,https://profiles.google.com/dr.khaled.hosny/about
Kimberly Geswein,https://profiles.google.com/117253152247277591746/about
Linus Romer,https://profiles.google.com/109941549753870836458/about
Luciano Perondi,https://profiles.google.com/113395761837784056828/about
Magnus Gaarde,https://profiles.google.com/115932087585337383969/about
Mark Simonson,https://profiles.google.com/marklsimonson/about
MADType,https://plus.google.com/b/105372527364228763583/
Matt McInerney,https://plus.google.com/103893450658942457573/about
Nicole Fally,https://profiles.google.com/103935580494601406708/about
Olga Umpeleva,https://profiles.google.com/olga.umpeleva/about
Omnibus-Type,https://plus.google.com/u/0/b/115141460305554867239/
Open Window,https://profiles.google.com/openwindowfonts/about
Pablo Impallari,https://profiles.google.com/impallari/about
Patrick Wagesreiter,https://profiles.google.com/111107509148784591183/about
Phillipe Cochy,https://profiles.google.com/118187635254788530522/about
Riccardo De Franceschi,https://plus.google.com/101338232409652833541/about
Santiago Orozco,https://profiles.google.com/santiagorozco/about
Sebastian Kosch,https://profiles.google.com/koschsebastian/about
Sideshow,https://profiles.google.com/sideshowfonts/about
Spyros Zevelakis,https://profiles.google.com/117457447820107011397/about
Stephan Baum,https://plus.google.com/106059985211920344554/about
Szymon Celej,https://profiles.google.com/112187055448026172411/about
Tart Workshop,https://profiles.google.com/tartworkshop/about
Thomas Junold,https://plus.google.com/108889659668121599111/posts
Toshi Omagari ,https://profiles.google.com/u/0/107945706919480435344/about
Vernon Adams,https://profiles.google.com/vernnobile/about
Victor Gaultney,https://profiles.google.com/victorgaultneytype/about
Viktoriya Grabowska,https://profiles.google.com/108103116746553670560/about
Vladimir Yefimov,https://profiles.google.com/VladimirJeffYefimov/about
Wojciech Kalinowski,https://profiles.google.com/111812284535706126925/about
Yanone,https://plus.google.com/117851060215561914602/about
Yvonne Schüttler,https://profiles.google.com/104926776822174631048/about
j. 'mach' wust,https://profiles.google.com/j.mach.wust/about
Łukasz Dziedzic,https://profiles.google.com/dziedzic.typoland/about
Huerta Tipográfica,https://plus.google.com/u/0/112473143573572123748/about
Carolina Giovagnoli,https://plus.google.com/112762283477938793815/about
Juan Pablo del Peral,https://profiles.google.com/118198362946414643563/about
Hanad A Alihanaf,https://profiles.google.com/Libaax38/about
Carolina Trebol,https://profiles.google.com/100889932633107219036/about
Annie Olsen,https://profiles.google.com/Annie.O.Olsen/about
Jonas Hecksher,https://profiles.google.com/108751492223758737525/about
TypeTogether,https://profiles.google.com/u/0/109781094858738402812/about
Eduardo Tunni,https://profiles.google.com/102227856512675210123/about
Rubén Prol,https://plus.google.com/111346125307578341019/about
Danh Hong,https://plus.google.com/106699101129541990265/about
Natalia Raices,https://plus.google.com/101900678527911193079/about
Lars Berggren,http://profiles.google.com/punktlars/about
Steve Matteson,https://profiles.google.com/107777320916704234605/about
Nathan Willis,https://plus.google.com/110044519468273778141/about
Nicolás Silva,https://plus.google.com/112934564034615336086/about
Ania Kruk,https://plus.google.com/100725782118300207604/about
John Vargas Beltrán,https://plus.google.com/104510930456899325757/posts
Marion Kadi,https://plus.google.com/107842480003589564739/about
Ringo Romei,https://plus.google.com/103807193126849972194/about
Anna Giedryś,https://plus.google.com/u/0/105016556070324621004/about
Dan Sayers,https://plus.google.com/113095630038455689308/about 
Sol Matas,https://plus.google.com/115101234368554964784/about
Brenda Gallo,https://plus.google.com/u/0/103824723792416046218/about
Alexandra Korolkova,https://plus.google.com/116023792010116852233/about
Sudtipos,https://plus.google.com/104136412443915122353/about
Tyler Finck,https://plus.google.com/100992802540893942118/about
Gaslight,https://plus.google.com/106081485891979931523/about
Vicente Lamónaca,https://plus.google.com/u/0/115465745523919008998/about
Josep Patau,https://plus.google.com/u/0/117289172428908231061/about
Fontstage,https://plus.google.com/u/0/109254920899420596016/about
Dario Manuel Muhafara,https://plus.google.com/105287894980881814285/about
LatinoType,https://plus.google.com/u/0/b/103923376014098522614/about
JM Solé,https://profiles.google.com/105275064712969780842/about
Magnus Gaarde,https://plus.google.com/115932087585337383969/about
Mariela Monsalve,https://plus.google.com/111583511865822431547/about
Gustavo Ibarra,https://plus.google.com/108579626576784306022/about
Ana Paula Megda,https://plus.google.com/109087648198839585778/about
Juan Montoreano,https://plus.google.com/u/0/108666302671606379702/about
Constanza Artigas,https://plus.google.com/115080906196889325120/about
Onur Yazıcıgil,https://plus.google.com/113986958806672260829/about
Magnus Gaarde,https://plus.google.com/115932087585337383969/about
Irina Smirnova,https://plus.google.com/104243178318516468123/about
Juan Montoreano,https://plus.google.com/u/0/108666302671606379702/about
Vicente Lamónaca,https://plus.google.com/u/0/115465745523919008998/about
Sabrina Mariela Lopez,https://plus.google.com/117943011442530153302/about
Angélica Díaz,https://plus.google.com/117098691754820628248/about
Szymon Celej,https://plus.google.com/u/0/112187055448026172411/about
Brownfox,https://plus.google.com/u/0/114847809085041469881/about
Andreas Kalpakidis,https://plus.google.com/u/0/115560287415965538456/about
Dan Sayers,https://plus.google.com/113095630038455689308/about
Irina Smirnova,https://plus.google.com/104243178318516468123/about
Joana Maria Correia da Silva,https://plus.google.com/u/0/102350238816508768032/about
